TOTAL_SECONDS,SNIPPETS,THROUGH_PUT_ROWS,THROUGH_PUT_SIZE,Cluster
1,2,1,24,1
0,1,0,0,1
6,1,0,1,1
0,1,0,0,1
0,1,0,0,1
1,1,1,8,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,20,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,3,7006,910564,1
1,1,0,0,1
0,2,0,0,1
1,3,1,20,1
2,3,25,3430,1
0,1,0,0,1
0,1,0,0,1
1,1,1,20,1
1,1,1,8,1
0,1,0,0,1
1,1,1,20,1
6,2,0,6,1
0,1,0,0,1
1,1,1,16,1
0,1,0,0,1
0,1,0,0,1
1,1,1,12,1
12,2,0,2,1
0,1,0,0,1
2,4,292,49314,1
0,2,0,0,1
0,1,0,0,1
1,1,3768,105504,1
0,2,0,0,1
22,2,0,1,1
1,1,0,0,1
0,1,0,0,1
3,5,5599,1038692,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,3,658,25784,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
32,3,0,0,1
8,62,1681,334539,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
3,10,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,88,1
0,2,0,0,1
1,1,1,88,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
37,2,1,14,1
0,1,0,0,1
0,1,0,0,1
10,2,0,2,1
1,1,1,12,1
0,1,0,0,1
1,1,2572,51440,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,8,1
0,2,0,0,1
0,1,0,0,1
5,2,0,5,1
5,1,0,2,1
15,1,4,61,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,12,1
0,1,0,0,1
3,1,0,3,1
0,1,0,0,1
3,7,0,0,1
0,1,0,0,1
0,1,0,0,1
1,2,1,24,1
0,1,0,0,1
7,15,1,31,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
2,2,1,12,1
0,1,0,0,1
0,1,0,0,1
5,3,0,2,1
22,4,73262,14442311,5
0,1,0,0,1
2,2,102161,4903728,5
0,2,0,0,1
1,1,1,12,1
1,1,1,8,1
1,1,1,12,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
3,2,0,11,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
2,1,1,8,1
0,1,0,0,1
2,2,1,16,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,2,3688,44256,1
0,1,0,0,1
0,1,0,0,1
1,1,1,88,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,3,0,0,1
1,1,1,8,1
2,1,1,4,1
1,1,1882,37640,1
0,1,0,0,1
0,2,0,0,1
0,2,0,0,1
0,2,0,0,1
1,1,1,16,1
0,1,0,0,1
2,6,108,4320,1
1,1,1,8,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
3,1,0,3,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
1,1,1675,33500,1
0,1,0,0,1
0,1,0,0,1
2,1,1,44,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,3,0,0,1
